,azimuth,elevation
0,0,0.0
1,1,0.0
2,2,0.0
3,3,0.0
4,4,0.0
5,5,0.0
6,6,0.0
7,7,0.0
8,8,0.0
9,9,0.0
10,10,0.0
11,11,0.0
12,12,0.0
13,13,0.0
14,14,0.0
15,15,0.0
16,16,0.0
17,17,0.0
18,18,0.0
19,19,0.0
20,20,0.0
21,21,0.0
22,22,0.0
23,23,0.0
24,24,0.0
25,25,0.0
26,26,0.0
27,27,0.0
28,28,0.0
29,29,0.0
30,30,0.0
31,31,0.0
32,32,0.0
33,33,0.0
34,34,0.0
35,35,0.0
36,36,0.0
37,37,0.0
38,38,0.0
39,39,0.0
40,40,0.0
41,41,0.0
42,42,0.0
43,43,0.0
44,44,0.0
45,45,0.0
46,46,0.0
47,47,0.0
48,48,0.0
49,49,0.0
50,50,0.0
51,51,0.0
52,52,0.0
53,53,0.0
54,54,0.0
55,55,0.0
56,56,0.0
57,57,0.0
58,58,0.0
59,59,0.0
60,60,0.0
61,61,0.112344521736
62,62,0.112344521736
63,63,0.114591406238
64,64,0.114591406238
65,65,0.124555846207
66,66,0.124555846207
67,67,0.233859025873
68,68,0.238731033099
69,69,0.238731033099
70,70,0.473073667424
71,71,0.709340074826
72,72,0.980642801016
73,73,1.23140188957
74,74,1.3540117649
75,75,1.52402359768
76,76,1.52402359768
77,77,1.59114027119
78,78,1.59114027119
79,79,1.61427197169
80,80,1.77039680545
81,81,1.77039680545
82,82,2.10165432767
83,83,2.78374910084
84,84,2.78374910084
85,85,3.24843751652
86,86,3.24843751652
87,87,3.14552298589
88,88,2.88814919433
89,89,2.88814919433
90,90,2.81226892502
91,91,2.59367672519
92,92,2.59367672519
93,93,2.4812648012
94,94,2.37431863144
95,95,2.37431863144
96,96,2.28130847781
97,97,2.23479885874
98,98,2.17065577243
99,99,2.41655308316
100,100,2.9472794177
101,101,3.2397002961
102,102,3.27048792318
103,103,3.37925561175
104,104,3.3474486811
105,105,3.3474486811
106,106,3.20948631779
107,107,3.20948631779
108,108,3.17983011986
109,109,3.23501505778
110,110,3.35206594482
111,111,3.54618928158
112,112,3.57271298768
113,113,3.71605299823
114,114,3.95126772274
115,115,4.33320384193
116,116,4.59739736262
117,117,4.63781814475
118,118,4.55658132232
119,119,4.36787986749
120,120,4.25663180323
121,121,4.28915332882
122,122,4.18739828859
123,123,4.06751956658
124,124,4.02974677809
125,125,3.9074154236
126,126,3.81086839971
127,127,3.65392679469
128,128,3.60864799313
129,129,3.43363036245
130,130,3.79724788044
131,131,3.83060850369
132,132,3.83060850369
133,133,3.76531801321
134,134,3.58253790242
135,135,3.34859481446
136,136,3.47726422354
137,137,3.56599497612
138,138,3.61829776913
139,139,3.99512261863
140,140,4.0593463648
141,141,4.21909534925
142,142,4.21909534925
143,143,4.21909534925
144,144,4.15128526642
145,145,3.87852450285
146,146,3.81407483429
147,147,3.67823872199
148,148,3.25642139604
149,149,2.65068968342
150,150,2.30285549645
151,151,2.12061201732
152,152,2.29711049637
153,153,2.37130313761
154,154,2.44749555857
155,155,2.51781358131
156,156,2.32224302896
157,157,1.9571171077
158,158,1.82331065784
159,159,1.45624946812
160,160,1.05344725786
161,161,0.71779111882
162,162,0.608254260094
163,163,0.498211612614
164,164,0.429710289401
165,165,0.409248608035
166,166,0.381966204729
167,167,0.146911933199
168,168,0.146911933199
169,169,0.136418264869
170,170,0.0
171,171,0.0
172,172,0.0
173,173,0.0
174,174,0.0
175,175,0.0
176,176,0.0
177,177,0.0
178,178,0.0
179,179,0.0
180,180,0.0
181,181,0.0
182,182,0.0
183,183,0.0
184,184,0.0
185,185,0.0
186,186,0.0
187,187,0.0
188,188,0.0
189,189,0.0
190,190,0.0
191,191,0.0
192,192,0.0
193,193,0.0
194,194,0.0
195,195,0.0
196,196,0.0
197,197,0.0
198,198,0.0
199,199,0.0
200,200,0.0
201,201,0.0
202,202,0.0
203,203,0.0
204,204,0.0
205,205,0.0
206,206,0.0
207,207,0.0
208,208,0.0
209,209,0.0
210,210,0.0
211,211,0.0
212,212,0.0
213,213,0.0
214,214,0.0
215,215,0.0
216,216,0.0
217,217,0.0
218,218,0.0
219,219,0.0
220,220,0.0
221,221,0.0
222,222,0.0
223,223,0.0
224,224,0.0
225,225,0.0
226,226,0.0
227,227,0.0
228,228,0.0
229,229,0.0
230,230,0.0
231,231,0.0
232,232,0.0
233,233,0.0
234,234,0.0
235,235,0.0
236,236,0.0
237,237,0.0
238,238,0.0
239,239,0.0
240,240,0.0
241,241,0.0
242,242,0.0
243,243,0.0
244,244,0.0
245,245,0.0
246,246,0.0
247,247,0.0
248,248,0.0
249,249,0.124555846207
250,250,0.124555846207
251,251,0.124555846207
252,252,0.127323744887
253,253,0.0
254,254,0.0
255,255,0.0
256,256,0.216209462462
257,257,0.216209462462
258,258,0.216209462462
259,259,0.201036997835
260,260,0.0
261,261,0.0
262,262,0.0
263,263,0.0
264,264,0.0
265,265,0.0
266,266,0.0
267,267,0.0
268,268,0.0
269,269,0.0
270,270,0.0
271,271,0.0
272,272,0.0
273,273,0.0
274,274,0.0
275,275,0.0
276,276,0.0
277,277,0.0
278,278,0.0
279,279,0.0
280,280,0.0
281,281,0.0
282,282,0.0
283,283,0.0
284,284,0.0
285,285,0.0
286,286,0.0
287,287,0.0
288,288,0.0
289,289,0.0
290,290,0.0
291,291,0.0
292,292,0.0
293,293,0.0
294,294,0.0
295,295,0.0
296,296,0.0
297,297,0.0
298,298,0.0
299,299,0.0
300,300,0.0
301,301,0.0
302,302,0.0
303,303,0.0
304,304,0.0
305,305,0.0
306,306,0.0
307,307,0.0
308,308,0.0
309,309,0.0
310,310,0.0
311,311,0.0
312,312,0.0
313,313,0.0
314,314,0.0
315,315,0.0
316,316,0.0
317,317,0.0
318,318,0.0
319,319,0.0
320,320,0.0
321,321,0.0
322,322,0.0
323,323,0.0
324,324,0.0
325,325,0.0
326,326,0.0
327,327,0.0
328,328,0.0
329,329,0.0
330,330,0.0
331,331,0.0
332,332,0.0
333,333,0.0
334,334,0.0
335,335,0.0
336,336,0.0
337,337,0.0
338,338,0.0
339,339,0.0
340,340,0.0
341,341,0.0
342,342,0.0
343,343,0.0
344,344,0.0
345,345,0.0
346,346,0.0
347,347,0.0
348,348,0.0
349,349,0.0
350,350,0.0
351,351,0.0
352,352,0.0
353,353,0.0
354,354,0.0
355,355,0.0
356,356,0.0
357,357,0.0
358,358,0.0
359,359,0.0
